label,Motif
PC 19670347,Guilloche
PC 19670347,Banquet
PC 19670348,Seated Figure
PC 19670349,Seated Figure
PC 19670350,Seated Figure
PC 19670351,0
PC 19670352,Seated Figure
PC 19670353,Seated Figure
PC 19670354,Guilloche
PC 19670354,Seated Figure
PC 19670355,Guilloche
PC 19670355,Seated Figure
PC 19670356,Seated Figure
PC 19670357,Guilloche
PC 19670357,Seated Figure
PC 19670358,Guilloche
PC 19670358,Seated Figure
PC 19670359,Seated Figure
PC 19670360,Seated Figure
PC 19670361,Guilloche
PC 19670361,Seated Figure
PC 19670362,Guilloche
PC 19670362,Seated Figure
PC 19670363,Seated Figure
PC 19670363,Guilloche
PC 19670364,Seated Figure
PC 19670365,Seated Figure
PC 19670366,Seated Figure
PC 19670367,Seated Figure
PC 19670368,Seated Figure
PC 19670369,Seated Figure
PC 19670370,Seated Figure
PC 19670371,Seated Figure
PC 19670372,Seated Figure
PC 19670373,Seated Figure
PC 19670374,0
PC 19670375,Procession
PC 19670376,0
PC 19670377,0
PC 19670378,0
PC 19670379,0
PC 19670380,Dots
PC 19670381,0
PC 19670382,0
PC 19670383,Feline
PC 19670384,0
PC 19670385,0
PC 19670386,0
PC 19670387,0
PC 19670388,0
PC 19670389,0
PC 19670390,Horse Race
PC 19670391,Horse Race
PC 19670391,Guilloche
PC 19670392,Horse Race
PC 19670392,Guilloche
PC 19670393,Horse Race
PC 19670394,Guilloche
PC 19670394,Horse Race
PC 19670395,Horse Race
PC 19670396,Horse Race
PC 19670397,Horse Race
PC 19670398,0
PC 19670399,0
PC 19670400,0
PC 19670401,0
PC 19670402,0
PC 19670403,Guilloche
PC 19670404,0
PC 19670405,Guilloche
PC 19670406,Rabbit
PC 19670406,Guilloche
PC 19670407,0
PC 19670408,0
PC 19670409,0
PC 19670410,Seated Figure
PC 19670411,Seated Figure
PC 19670412,Seated Figure
PC 19670413,Seated Figure
PC 19670414,Seated Figure
PC 19670415,Seated Figure
PC 19670416,Horse Race
PC 19670416,Guilloche
PC 19670417,Guilloche
PC 19670418,Feline
PC 19670418,Rosette
PC 19670419,0
PC 19670420,Seated Figure
PC 19670421,Seated Figure
PC 19670422,0
PC 19670423,0
PC 19670424,0
PC 19670425,Seated Figure
PC 19670425,Female
PC 19670426,Seated Figure
PC 19670427,Seated Figure
PC 19670428,Seated Figure
PC 19670429,0
PC 19670430,0
PC 19670431,0
PC 19670432,Horse Race
PC 19670432,Guilloche
PC 19670433,Horse Race
PC 19670434,Gorgon
PC 19670435,0
PC 19670436,0
PC 19670437,0
PC 19670438,Banquet
PC 19670438,Female
PC 19670439,Seated Figure
PC 19670440,0
PC 19670441,Seated Figure
PC 19670442,Seated Figure
PC 19670443,Seated Figure
PC 19670444,0
PC 19670445,Horse Race
PC 19670446,Guilloche
PC 19670447,0
PC 19670448,0
PC 19670449,0
PC 19670450,Tongue
PC 19670450,Bearded Head
PC 19670450,Warrior
PC 19670451,Rosette
PC 19670452,Gorgon
PC 19670453,Tongue
PC 19670453,Gorgon
PC 19670454,Gorgon
PC 19670455,Gorgon
PC 19670456,0
PC 19670457,0
PC 19670458,0
PC 19670459,Seated Figure
PC 19670460,0
PC 19670461,0
PC 19670462,Seated Figure
PC 19670463,0
PC 19670464,0
PC 19670465,Seated Figure
PC 19670466,0
PC 19670467,0
PC 19670468,Seated Figure
PC 19670468,Hair
PC 19670469,0
PC 19670470,0
PC 19670471,Seated Figure
PC 19670472,Seated Figure
PC 19670473,Seated Figure
PC 19670474,Seated Figure
PC 19670475,Seated Figure
PC 19670476,Seated Figure
PC 19670477,Seated Figure
PC 19670478,0
PC 19670479,0
PC 19670480,Seated Figure
PC 19670481,0
PC 19670482,0
PC 19670483,0
PC 19670484,0
PC 19670485,0
PC 19670486,0
PC 19670487,0
PC 19670488,0
PC 19670489,0
PC 19670490,0
PC 19670491,0
PC 19670492,0
PC 19670493,0
PC 19670494,0
PC 19670495,Rosette
PC 19670496,0
PC 19670497,0
PC 19670498,0
PC 19670499,0
PC 19670500,0
PC 19670501,0
PC 19670502,0
PC 19670503,Guilloche
PC 19670504,Guilloche
PC 19670505,0
PC 19670506,0
PC 19670507,0
PC 19670508,0
PC 19670509,Guilloche
PC 19670510,0
PC 19670511,0
PC 19670512,0
PC 19670513,0
PC 19670514,0
PC 19670515,0
PC 19670516,Guilloche
PC 19670517,Guilloche
PC 19670518,Guilloche
PC 19670519,Guilloche
PC 19670520,Guilloche
PC 19670521,Guilloche
PC 19670522,Rosette
PC 19670523,0
PC 19670524,0
PC 19670525,0
PC 19670526,0
PC 19670527,Rosette
PC 19670528,0
PC 19670529,0
PC 19670530,0
PC 19670531,0
PC 19670532,0
PC 19670533,0
PC 19670534,0
PC 19670535,Banquet
PC 19670536,Seated Figure
PC 19670537,Seated Figure
PC 19670538,0
PC 19670539,0
PC 19670540,0
PC 19670541,0
PC 19680001,0
PC 19680002,Bird
PC 19680002,Feline
PC 19680002,Circles
PC 19680003,0
PC 19680004,0
PC 19680005,Gorgon
PC 19680006,0
PC 19680007,0
PC 19680008,0
PC 19680009,0
PC 19680010,0
PC 19680011,0
PC 19680012,Bird
PC 19680013,0
PC 19680014,0
PC 19680015,0
PC 19680016,Tongue
PC 19680016,Gorgon
PC 19680017,0
PC 19680018,0
PC 19680019,Gorgon
PC 19680020,0
PC 19680021,0
PC 19680022,0
PC 19680023,0
PC 19680024,0
PC 19680025,Lion
PC 19680026,Gorgon
PC 19680027,Feline
PC 19680028,0
PC 19680029,0
PC 19680030,Rosette
PC 19680030,Feline
PC 19680031,Rosette
PC 19680032,0
PC 19680033,0
PC 19680034,0
PC 19680035,0
