motif,dec_tec,weight
Potnia Theron,No Decorative Technique,4
Potnia Theron,Applique,0
Potnia Theron,Beveled,0
Potnia Theron,Bifurcated,0
Potnia Theron,Burnished,0
Potnia Theron,Cavetto,0
Potnia Theron,Fenestrated,0
Potnia Theron,Finger Incised,0
Potnia Theron,Fluted,1
Potnia Theron,Impressed,1
Potnia Theron,Incised,8
Potnia Theron,Inlay,0
Potnia Theron,Inscribed,0
Potnia Theron,Letters,0
Potnia Theron,Molded,8
Potnia Theron,Other,0
Potnia Theron,Painted,0
Potnia Theron,Pierced,0
Potnia Theron,Plastic,0
Potnia Theron,Punched,0
Potnia Theron,Relief,9
Potnia Theron,Reticulated,0
Potnia Theron,Ribbed,0
Potnia Theron,Ridged,0
Potnia Theron,Roulette,0
Potnia Theron,Scalloped,0
Potnia Theron,Slipped,0
Potnia Theron,Stamped,1
Potnia Theron,Stippled,0
Procession,No Decorative Technique,151
Procession,Applique,0
Procession,Beveled,0
