motifs1,motifs2,weights
Panther,Flower,0
Panther,Sphinx,0
Panther,Animal,5
Panther,Male,1
Panther,Panther,30
Panther,Lion,4
Panther,Dots,0
Panther,Meander,0
Panther,Geometric,0
Panther,Volute,0
Panther,Potnia Theron,1
Panther,Bearded Head,0
Panther,Bucrania,0
Panther,Rabbit,0
Panther,Warrior,0
Panther,Hair,0
Panther,Griffin,0
Panther,Quadruped,0
Panther,Bearded,0
Panther,Notches,0
Panther,Bull,0
Panther,Figure,0
Panther,Stag,0
Panther,Chevron,0
Panther,Duck,0
Panther,Wrestler,0
Panther,Umpire,0
Panther,Bean,0
Panther,Cross-Hatched,0
Panther,Triangular,0
Panther,Ray,0
Panther,Vegetal,0
Panther,Caryatid,0
Panther,Braid,0
Panther,Florette,0
Panther,Asterisk,0
Panther,Chevrons,0
Panther,Other,0
